# ffprobe oracle for fixtures/flv/av.flv (H.264+AAC FLV)
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
video,0,80,0,40,3835,1
video,0,240,40,40,498,0
audio,1,57,57,23,314,1
video,0,160,80,40,83,0
audio,1,80,80,23,367,1
audio,1,103,103,23,222,1
video,0,120,120,40,52,0
audio,1,127,127,23,249,1
audio,1,150,150,23,310,1
video,0,200,160,40,43,0
audio,1,173,173,23,308,1
audio,1,196,196,23,251,1
video,0,400,200,40,449,0
audio,1,220,220,23,251,1
video,0,320,240,40,87,0
audio,1,243,243,23,281,1
audio,1,266,266,23,289,1
video,0,280,280,40,34,0
audio,1,289,289,23,292,1
audio,1,312,312,23,281,1
video,0,360,320,40,40,0
audio,1,336,336,23,307,1
audio,1,359,359,23,291,1
video,0,560,360,40,472,0
audio,1,382,382,23,241,1
video,0,480,400,40,94,0
audio,1,405,405,23,319,1
audio,1,429,429,23,320,1
video,0,440,440,40,52,0
audio,1,452,452,23,233,1
audio,1,475,475,23,257,1
video,0,520,480,40,45,0
audio,1,498,498,23,259,1
video,0,720,520,40,474,0
audio,1,521,521,23,266,1
audio,1,545,545,23,303,1
video,0,640,560,40,82,0
audio,1,568,568,23,307,1
audio,1,591,591,23,270,1
video,0,600,600,40,43,0
audio,1,614,614,23,232,1
audio,1,638,638,23,291,1
video,0,680,640,40,28,0
audio,1,661,661,23,275,1
video,0,840,680,40,381,0
audio,1,684,684,23,290,1
audio,1,707,707,23,304,1
video,0,760,720,40,53,0
audio,1,730,730,23,260,1
audio,1,754,754,23,300,1
video,0,800,760,40,41,0
audio,1,777,777,23,301,1
video,0,960,800,40,373,0
audio,1,800,800,23,314,1
audio,1,823,823,23,303,1
video,0,880,840,40,56,0
audio,1,846,846,23,263,1
audio,1,870,870,23,244,1
video,0,920,880,40,47,0
audio,1,893,893,23,258,1
audio,1,916,916,23,263,1
video,0,1000,920,40,256,0
audio,1,939,939,23,266,1
video,0,1040,960,40,120,0
audio,1,963,963,23,276,1
audio,1,986,986,23,278,1
video,0,1080,1000,40,3486,1
audio,1,1009,1009,23,268,1
audio,1,1032,1032,23,325,1
video,0,1240,1040,40,496,0
audio,1,1055,1055,23,325,1
audio,1,1079,1079,23,283,1
video,0,1160,1080,40,93,0
audio,1,1102,1102,23,280,1
video,0,1120,1120,40,51,0
audio,1,1125,1125,23,263,1
audio,1,1148,1148,23,287,1
video,0,1200,1160,40,39,0
audio,1,1172,1172,23,295,1
audio,1,1195,1195,23,250,1
video,0,1400,1200,40,462,0
audio,1,1218,1218,23,259,1
video,0,1320,1240,40,77,0
audio,1,1241,1241,23,259,1
audio,1,1264,1264,23,283,1
video,0,1280,1280,40,33,0
audio,1,1288,1288,23,315,1
audio,1,1311,1311,23,266,1
video,0,1360,1320,40,26,0
