# ffprobe oracle for fixtures/mp4/frag/mpegh_stereo.frag.mp4 (MPEG-H 3D Audio, mha1)
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
audio,0,0,0,1024,373,1
audio,0,1024,1024,1024,146,0
audio,0,2048,2048,1024,147,0
audio,0,3072,3072,1024,144,0
audio,0,4096,4096,1024,139,0
audio,0,5120,5120,1024,136,0
audio,0,6144,6144,1024,133,0
audio,0,7168,7168,1024,133,0
audio,0,8192,8192,1024,131,0
audio,0,9216,9216,1024,128,0
audio,0,10240,10240,1024,129,0
audio,0,11264,11264,1024,127,0
audio,0,12288,12288,1024,127,0
audio,0,13312,13312,1024,132,0
audio,0,14336,14336,1024,131,0
audio,0,15360,15360,1024,124,0
audio,0,16384,16384,1024,124,0
audio,0,17408,17408,1024,128,0
audio,0,18432,18432,1024,123,0
audio,0,19456,19456,1024,125,0
audio,0,20480,20480,1024,127,0
audio,0,21504,21504,1024,128,0
audio,0,22528,22528,1024,128,0
audio,0,23552,23552,1024,125,0
audio,0,24576,24576,1024,126,0
audio,0,25600,25600,1024,124,0
audio,0,26624,26624,1024,125,0
audio,0,27648,27648,1024,130,0
audio,0,28672,28672,1024,126,0
audio,0,29696,29696,1024,127,0
audio,0,30720,30720,1024,125,0
audio,0,31744,31744,1024,125,0
audio,0,32768,32768,1024,129,0
audio,0,33792,33792,1024,127,0
audio,0,34816,34816,1024,124,0
audio,0,35840,35840,1024,126,0
audio,0,36864,36864,1024,123,0
audio,0,37888,37888,1024,134,0
audio,0,38912,38912,1024,127,0
audio,0,39936,39936,1024,133,0
audio,0,40960,40960,1024,127,0
audio,0,41984,41984,1024,131,0
audio,0,43008,43008,1024,127,0
audio,0,44032,44032,1024,120,0
audio,0,45056,45056,1024,131,0
audio,0,46080,46080,1024,126,0
audio,0,47104,47104,1024,127,0
audio,0,48128,48128,1024,132,0
audio,0,49152,49152,1024,128,0
audio,0,50176,50176,1024,133,0
audio,0,51200,51200,1024,192,0
audio,0,52224,52224,1024,126,0
audio,0,53248,53248,1024,129,0
audio,0,54272,54272,1024,126,0
audio,0,55296,55296,1024,120,0
audio,0,56320,56320,1024,119,0
audio,0,57344,57344,1024,123,0
audio,0,58368,58368,1024,122,0
audio,0,59392,59392,1024,126,0
audio,0,60416,60416,1024,126,0
audio,0,61440,61440,1024,121,0
audio,0,62464,62464,1024,129,0
audio,0,63488,63488,1024,124,0
audio,0,64512,64512,1024,127,0
audio,0,65536,65536,1024,131,0
audio,0,66560,66560,1024,132,0
audio,0,67584,67584,1024,127,0
audio,0,68608,68608,1024,129,0
audio,0,69632,69632,1024,128,0
audio,0,70656,70656,1024,125,0
audio,0,71680,71680,1024,128,0
audio,0,72704,72704,1024,129,0
audio,0,73728,73728,1024,137,0
audio,0,74752,74752,1024,133,0
audio,0,75776,75776,1024,132,0
audio,0,76800,76800,1024,132,0
audio,0,77824,77824,1024,122,0
audio,0,78848,78848,1024,116,0
audio,0,79872,79872,1024,124,0
audio,0,80896,80896,1024,120,0
audio,0,81920,81920,1024,120,0
audio,0,82944,82944,1024,121,0
audio,0,83968,83968,1024,118,0
audio,0,84992,84992,1024,128,0
audio,0,86016,86016,1024,130,0
audio,0,87040,87040,1024,131,0
audio,0,88064,88064,1024,124,0
audio,0,89088,89088,1024,130,0
audio,0,90112,90112,1024,124,0
audio,0,91136,91136,1024,125,0
audio,0,92160,92160,1024,125,0
audio,0,93184,93184,1024,128,0
audio,0,94208,94208,1024,131,0
audio,0,95232,95232,1024,126,0
audio,0,96256,96256,1024,134,0
audio,0,97280,97280,1024,129,0
audio,0,98304,98304,1024,132,0
audio,0,99328,99328,1024,130,0
audio,0,100352,100352,1024,122,0
audio,0,101376,101376,1024,124,0
audio,0,102400,102400,1024,124,0
audio,0,103424,103424,1024,132,0
audio,0,104448,104448,1024,132,0
audio,0,105472,105472,1024,130,0
audio,0,106496,106496,1024,139,0
audio,0,107520,107520,1024,122,0
audio,0,108544,108544,1024,124,0
audio,0,109568,109568,1024,126,0
audio,0,110592,110592,1024,124,0
audio,0,111616,111616,1024,125,0
