# ffprobe oracle for fixtures/ts/legacy/mpeg2_mp2.ts (MPEG-2 video 0x02 + MP2 audio 0x03)
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
video,0,129600,126000,3600,8063,1
audio,1,128618,128618,2351,1253,1
audio,1,130969,130969,2351,1254,1
video,0,133200,129600,3600,4598,0
audio,1,133320,133320,2351,1254,1
audio,1,135671,135671,2351,1254,1
video,0,136800,133200,3600,1106,0
audio,1,138022,138022,2351,1254,1
audio,1,140373,140373,2351,1254,1
video,0,140400,136800,3600,998,0
audio,1,142724,142724,2351,1254,1
audio,1,145075,145075,2351,1254,1
video,0,144000,140400,3600,966,0
video,0,147600,144000,3600,913,0
audio,1,147427,147427,2351,1253,1
audio,1,149778,149778,2351,1254,1
video,0,151200,147600,3600,831,0
audio,1,152129,152129,2351,1254,1
audio,1,154480,154480,2351,1254,1
video,0,154800,151200,3600,859,0
audio,1,156831,156831,2351,1254,1
audio,1,159182,159182,2351,1254,1
video,0,158400,154800,3600,797,0
video,0,162000,158400,3600,806,0
audio,1,161533,161533,2351,1254,1
audio,1,163884,163884,2351,1254,1
video,0,165600,162000,3600,748,0
audio,1,166235,166235,2351,1253,1
audio,1,168586,168586,2351,1254,1
video,0,169200,165600,3600,798,0
audio,1,170937,170937,2351,1254,1
audio,1,173288,173288,2351,1254,1
video,0,172800,169200,3600,11387,1
video,0,176400,172800,3600,1944,0
audio,1,175639,175639,2351,1254,1
audio,1,177990,177990,2351,1254,1
video,0,180000,176400,3600,937,0
audio,1,180341,180341,2351,1254,1
audio,1,182692,182692,2351,1254,1
video,0,183600,180000,3600,869,0
audio,1,185043,185043,2351,1253,1
audio,1,187394,187394,2351,1254,1
video,0,187200,183600,3600,796,0
video,0,190800,187200,3600,822,0
audio,1,189745,189745,2351,1254,1
audio,1,192096,192096,2351,1254,1
video,0,194400,190800,3600,750,0
audio,1,194447,194447,2351,1254,1
audio,1,196798,196798,2351,1254,1
video,0,198000,194400,3600,651,0
audio,1,199149,199149,2351,1254,1
audio,1,201500,201500,2351,1254,1
video,0,201600,198000,3600,676,0
audio,1,203851,203851,2351,1253,1
audio,1,206202,206202,2351,1254,1
video,0,205200,201600,3600,668,0
video,0,208800,205200,3600,627,0
audio,1,208553,208553,2351,1254,1
audio,1,210904,210904,2351,1254,1
audio,1,213255,213255,2351,1254,1
audio,1,215606,215606,2351,1254,1
audio,1,217957,217957,2351,1254,1
video,0,212400,208800,3600,677,0
video,0,216000,212400,3600,11342,1
