# ffprobe oracle for fixtures/webm/vorbis.webm
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
audio,0,-23,-23,23,678,1
audio,0,0,0,23,692,1
audio,0,23,23,23,632,1
audio,0,46,46,23,619,1
audio,0,70,70,23,623,1
audio,0,93,93,23,630,1
audio,0,116,116,23,652,1
audio,0,139,139,23,607,1
audio,0,163,163,23,667,1
audio,0,186,186,23,649,1
audio,0,209,209,23,615,1
audio,0,232,232,23,665,1
audio,0,255,255,23,631,1
audio,0,279,279,23,654,1
audio,0,302,302,23,614,1
audio,0,325,325,23,650,1
audio,0,348,348,23,596,1
audio,0,372,372,23,671,1
audio,0,395,395,23,634,1
audio,0,418,418,23,654,1
audio,0,441,441,23,667,1
audio,0,464,464,23,643,1
audio,0,488,488,23,624,1
audio,0,511,511,23,638,1
audio,0,534,534,23,669,1
audio,0,557,557,23,624,1
audio,0,580,580,23,662,1
audio,0,604,604,23,687,1
audio,0,627,627,23,656,1
audio,0,650,650,23,650,1
audio,0,673,673,23,679,1
audio,0,697,697,23,649,1
audio,0,720,720,23,631,1
audio,0,743,743,23,638,1
audio,0,766,766,23,658,1
audio,0,789,789,23,622,1
audio,0,813,813,23,632,1
audio,0,836,836,23,615,1
audio,0,859,859,23,690,1
audio,0,882,882,23,693,1
audio,0,906,906,23,648,1
audio,0,929,929,23,639,1
audio,0,952,952,23,656,1
audio,0,975,975,23,649,1
audio,0,998,998,23,608,1
