# ffprobe oracle for fixtures/webm/vp8_opus.webm
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
audio,1,-7,-7,20,307,1
video,0,0,0,40,4868,1
audio,1,14,14,20,168,1
audio,1,34,34,20,176,1
video,0,40,40,40,494,0
audio,1,54,54,20,175,1
audio,1,74,74,20,176,1
video,0,80,80,40,1261,0
audio,1,94,94,20,177,1
audio,1,114,114,20,174,1
video,0,120,120,40,1075,0
audio,1,134,134,20,175,1
audio,1,154,154,20,176,1
video,0,160,160,40,1095,0
audio,1,174,174,20,177,1
audio,1,194,194,20,178,1
video,0,200,200,40,1060,0
audio,1,214,214,20,177,1
audio,1,234,234,20,176,1
video,0,240,240,40,1057,0
audio,1,254,254,20,176,1
audio,1,274,274,20,177,1
video,0,280,280,40,1465,0
audio,1,294,294,20,178,1
audio,1,314,314,20,177,1
video,0,320,320,40,1495,0
audio,1,334,334,20,176,1
audio,1,354,354,20,176,1
video,0,360,360,40,1067,0
audio,1,374,374,20,177,1
audio,1,394,394,20,178,1
video,0,400,400,40,1161,0
audio,1,414,414,20,177,1
audio,1,434,434,20,176,1
video,0,440,440,40,979,0
audio,1,454,454,20,176,1
audio,1,474,474,20,177,1
video,0,480,480,40,1024,0
audio,1,494,494,20,178,1
audio,1,514,514,20,177,1
video,0,520,520,40,1126,0
audio,1,534,534,20,176,1
audio,1,554,554,20,176,1
video,0,560,560,40,808,0
audio,1,574,574,20,177,1
audio,1,594,594,20,178,1
video,0,600,600,40,952,0
audio,1,614,614,20,177,1
audio,1,634,634,20,176,1
video,0,640,640,40,878,0
audio,1,654,654,20,176,1
audio,1,674,674,20,177,1
video,0,680,680,40,1455,0
audio,1,694,694,20,178,1
audio,1,714,714,20,177,1
video,0,720,720,40,583,0
audio,1,734,734,20,176,1
audio,1,754,754,20,176,1
video,0,760,760,40,620,0
audio,1,774,774,20,177,1
audio,1,794,794,20,178,1
video,0,800,800,40,700,0
audio,1,814,814,20,177,1
audio,1,834,834,20,176,1
video,0,840,840,40,742,0
audio,1,854,854,20,176,1
audio,1,874,874,20,177,1
video,0,880,880,40,1271,0
audio,1,894,894,20,178,1
audio,1,914,914,20,177,1
video,0,920,920,40,1189,0
audio,1,934,934,20,176,1
audio,1,954,954,20,176,1
video,0,960,960,40,808,0
audio,1,974,974,20,177,1
audio,1,994,994,7,318,1
